Crash Breakdown,Crash Breakdown 2,Crash Severity,Cross Street Full Name,Cyclist Flag,Date Of Loss Year,Day Of Week,Derived Crash Congifuration,Heavy Veh Flag,Intersection Crash,Mid Block Crash,Month Of Year,Motorcycle Flag,Municipality Name,Municipality Name (ifnull),Municipality With Boundary,Parking Lot Flag,Pedestrian Flag,Region,Road Location Description,Street Full Name,Street Full Name (ifnull),Time Category,Crash Count,Latitude,Longitude,Number of Records
TUESDAY,VANCOUVER,CASUALTY,NA,Yes,2018,TUESDAY,SINGLE VEHICLE,N,No,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,YORK AVE,YORK AVE,YORK AVE,18:00-20:59,1,49.271753,-123.158558,1
THURSDAY,VANCOUVER,CASUALTY,MAPLE ST,Yes,2018,THURSDAY,UNDETERMINED,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,CORNWALL AVE & MAPLE ST,CORNWALL AVE,CORNWALL AVE,15:00-17:59,1,49.272512999999996,-123.150222,1
SUNDAY,VANCOUVER,CASUALTY,NA,Yes,2018,SUNDAY,SINGLE VEHICLE,N,No,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,Yes,No,LOWER MAINLAND,GRANVILLE ST,GRANVILLE ST,GRANVILLE ST,15:00-17:59,1,49.273552,-123.131656,1
SATURDAY,VANCOUVER,CASUALTY,BEATTY WALK,Yes,2019,SATURDAY,SINGLE VEHICLE,N,Yes,N,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BEATTY WALK & CAMBIE ST & EXPO BLVD & PACIFIC BLVD,CAMBIE ST,CAMBIE ST,21:00-23:59,1,49.274492,-123.119437,1
SUNDAY,VANCOUVER,PROPERTY DAMAGE ONLY,NA,Yes,2016,SUNDAY,SINGLE VEHICLE,N,No,N,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,Yes,No,LOWER MAINLAND,ADANAC ST,ADANAC ST,ADANAC ST,21:00-23:59,1,49.277498,-123.062722,1
MONDAY,VANCOUVER,CASUALTY,VICTORIA DR,Yes,2015,MONDAY,SINGLE VEHICLE,N,Yes,N,DECEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST & VICTORIA DR,ADANAC ST,ADANAC ST,18:00-20:59,1,49.277522,-123.065605,1
SATURDAY,VANCOUVER,CASUALTY,ADANAC ST,Yes,2017,SATURDAY,SINGLE VEHICLE,Y,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST & CLARK DR,CLARK DR,CLARK DR,09:00-11:59,1,49.277667,-123.077246,1
THURSDAY,VANCOUVER,CASUALTY,SMITHE ST,Yes,2019,THURSDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,HAMILTON ST & MAINLAND ST & SMITHE ST,MAINLAND ST,MAINLAND ST,15:00-17:59,1,49.277772,-123.117489,1
SATURDAY,VANCOUVER,CASUALTY,RENFREW ST,Yes,2019,SATURDAY,SINGLE VEHICLE,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,RENFREW ST & WILLIAM ST,WILLIAM ST,WILLIAM ST,09:00-11:59,1,49.274203,-123.044127,1
SUNDAY,VANCOUVER,CASUALTY,EXPO BLVD,Yes,2016,SUNDAY,SINGLE VEHICLE,N,Yes,N,OCTOBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BEATTY WALK & CAMBIE ST & EXPO BLVD & PACIFIC BLVD,PACIFIC BLVD,PACIFIC BLVD,09:00-11:59,1,49.274492,-123.119437,1
FRIDAY,VANCOUVER,PROPERTY DAMAGE ONLY,HORNBY ST,Yes,2017,FRIDAY,SINGLE VEHICLE,N,Yes,N,OCTOBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,DRAKE ST & HORNBY ST,DRAKE ST,DRAKE ST,15:00-17:59,1,49.277355,-123.129722,1
THURSDAY,VANCOUVER,CASUALTY,RAYMUR AVE,Yes,2017,THURSDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,RAYMUR AVE & UNION ST,UNION ST,UNION ST,18:00-20:59,1,49.277371,-123.083287,1
WEDNESDAY,VANCOUVER,CASUALTY,RAYMUR AVE,Yes,2018,WEDNESDAY,UNDETERMINED,N,Yes,N,OCTOBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,RAYMUR AVE & UNION ST,UNION ST,UNION ST,18:00-20:59,1,49.277371,-123.083287,1
MONDAY,VANCOUVER,CASUALTY,CAMPBELL AVE,Yes,2017,MONDAY,SINGLE VEHICLE,N,Yes,N,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,CAMPBELL AVE & UNION ST,UNION ST,UNION ST,09:00-11:59,1,49.277399,-123.084959,1
THURSDAY,VANCOUVER,CASUALTY,ADANAC ST,Yes,2018,THURSDAY,UNDETERMINED,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST & LILLOOET ST,LILLOOET ST,LILLOOET ST,15:00-17:59,1,49.277449,-123.038877,1
THURSDAY,VANCOUVER,CASUALTY,UNION ST,Yes,2015,THURSDAY,HEAD ON,N,Yes,N,DECEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,PRINCESS AVE & UNION ST,PRINCESS AVE,PRINCESS AVE,18:00-20:59,1,49.277514,-123.091647,1
TUESDAY,VANCOUVER,CASUALTY,HELMCKEN ST,Yes,2016,TUESDAY,SINGLE VEHICLE,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,Yes,No,LOWER MAINLAND,HELMCKEN ST & SEYMOUR ST,SEYMOUR ST,SEYMOUR ST,12:00-14:59,1,49.277531,-123.123614,1
MONDAY,VANCOUVER,CASUALTY,COMMERCIAL DR,Yes,2018,MONDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST & COMMERCIAL DR,ADANAC ST,ADANAC ST,15:00-17:59,1,49.27757,-123.070476,1
FRIDAY,VANCOUVER,PROPERTY DAMAGE ONLY,UNION ST,Yes,2016,FRIDAY,SINGLE VEHICLE,N,Yes,N,OCTOBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,MAIN ST & MAIN ST ONRAMP & UNION ST,MAIN ST,MAIN ST,18:00-20:59,1,49.277634,-123.099817,1
FRIDAY,VANCOUVER,CASUALTY,ADANAC ST,Yes,2018,FRIDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST & MCLEAN DR,MCLEAN DR,MCLEAN DR,06:00-08:59,1,49.277638,-123.074142,1
THURSDAY,VANCOUVER,CASUALTY,HARWOOD ST,Yes,2017,THURSDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BURRARD ST & HARWOOD ST,BURRARD ST,BURRARD ST,06:00-08:59,1,49.277669,-123.131347,1
WEDNESDAY,VANCOUVER,CASUALTY,SMITHE ST,Yes,2017,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,HAMILTON ST & MAINLAND ST & SMITHE ST,HAMILTON ST,HAMILTON ST,18:00-20:59,1,49.277772,-123.117489,1
FRIDAY,VANCOUVER,CASUALTY,COMMERCIAL DR,Yes,2018,FRIDAY,SINGLE VEHICLE,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,COMMERCIAL DR & WILLIAM ST,WILLIAM ST,WILLIAM ST,15:00-17:59,1,49.273951,-123.069559,1
WEDNESDAY,VANCOUVER,CASUALTY,HOMER ST,Yes,2015,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,DRAKE ST & HOMER ST,DRAKE ST,DRAKE ST,06:00-08:59,1,49.274205,-123.124853,1
MONDAY,VANCOUVER,CASUALTY,NA,Yes,2017,MONDAY,SINGLE VEHICLE,N,No,Y,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,NW MARINE DR,NW MARINE DR,NW MARINE DR,09:00-11:59,1,49.274497,-123.210297,1
MONDAY,VANCOUVER,CASUALTY,NATIONAL AVE,Yes,2017,MONDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,Yes,No,LOWER MAINLAND,MAIN ST & NATIONAL AVE,MAIN ST,MAIN ST,15:00-17:59,1,49.274934,-123.099923,1
MONDAY,VANCOUVER,CASUALTY,QUEBEC ST,Yes,2016,MONDAY,SINGLE VEHICLE,N,Yes,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,NATIONAL AVE & QUEBEC ST,NATIONAL AVE,NATIONAL AVE,15:00-17:59,1,49.274948,-123.101941,1
MONDAY,VANCOUVER,PROPERTY DAMAGE ONLY,NA,Yes,2018,MONDAY,SINGLE VEHICLE,N,No,N,DECEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,SMITHE ST,SMITHE ST,SMITHE ST,18:00-20:59,1,49.275302,-123.113698,1
WEDNESDAY,VANCOUVER,CASUALTY,DAVIE ST,Yes,2016,WEDNESDAY,SINGLE VEHICLE,Y,Yes,N,DECEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,DAVIE ST & RICHARDS ST,RICHARDS ST,RICHARDS ST,09:00-11:59,1,49.27589,-123.124257,1
THURSDAY,VANCOUVER,CASUALTY,PACIFIC ST,Yes,2015,THURSDAY,UNDETERMINED,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,HORNBY ST & PACIFIC ST,HORNBY ST,HORNBY ST,06:00-08:59,1,49.276281,-123.131378,1
FRIDAY,VANCOUVER,CASUALTY,SMITHE ST,Yes,2019,FRIDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BEATTY ST & SMITHE ST,BEATTY ST,BEATTY ST,15:00-17:59,1,49.276538,-123.115575,1
SATURDAY,VANCOUVER,CASUALTY,YORK AVE,Yes,2017,SATURDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,LARCH ST & YORK AVE,LARCH ST,LARCH ST,21:00-23:59,1,49.271832,-123.162136,1
FRIDAY,VANCOUVER,CASUALTY,MAPLE ST,Yes,2018,FRIDAY,SINGLE VEHICLE,N,Yes,N,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,CORNWALL AVE & MAPLE ST,CORNWALL AVE,CORNWALL AVE,15:00-17:59,1,49.272512999999996,-123.150222,1
FRIDAY,VANCOUVER,PROPERTY DAMAGE ONLY,NA,Yes,2018,FRIDAY,SINGLE VEHICLE,N,No,Y,OCTOBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BEACH AVE,BEACH AVE,BEACH AVE,15:00-17:59,1,49.274439,-123.131334,1
TUESDAY,VANCOUVER,CASUALTY,PRIOR ST,Yes,2015,TUESDAY,SINGLE VEHICLE,N,Yes,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,DUNSMUIR VIADUCT & GEORGIA VIADUCT & GORE AVE & PRIOR ST,GORE AVE,GORE AVE,21:00-23:59,1,49.276744,-123.096883,1
MONDAY,VANCOUVER,CASUALTY,VENABLES ST,Yes,2019,MONDAY,UNDETERMINED,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,COMMERCIAL DR & VENABLES ST,COMMERCIAL DR,COMMERCIAL DR,15:00-17:59,1,49.276673,-123.070461,1
THURSDAY,VANCOUVER,CASUALTY,PACIFIC ST,Yes,2015,THURSDAY,UNDETERMINED,N,Yes,N,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BURRARD ST & BURRARD ST BRIDGE & PACIFIC ST & PACIFIC ST OFFRAMP & PACIFIC ST ONRAMP,BURRARD ST,BURRARD ST,12:00-14:59,1,49.276971,-123.132435,1
TUESDAY,VANCOUVER,PROPERTY DAMAGE ONLY,MAINLAND ST,Yes,2019,TUESDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,MAINLAND ST & NELSON ST,NELSON ST,NELSON ST,15:00-17:59,1,49.276628,-123.118973,1
THURSDAY,VANCOUVER,PROPERTY DAMAGE ONLY,WILLIAM ST,Yes,2016,THURSDAY,SIDE IMPACT,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,VICTORIA DR & WILLIAM ST,VICTORIA DR,VICTORIA DR,06:00-08:59,1,49.273841,-123.065675,1
TUESDAY,VANCOUVER,CASUALTY,RICHARDS ST,Yes,2015,TUESDAY,UNDETERMINED,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,HELMCKEN ST & RICHARDS ST,HELMCKEN ST,HELMCKEN ST,12:00-14:59,1,49.276941,-123.122664,1
SATURDAY,VANCOUVER,CASUALTY,PACIFIC ST,Yes,2015,SATURDAY,UNDETERMINED,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BURRARD ST & BURRARD ST BRIDGE & PACIFIC ST & PACIFIC ST OFFRAMP & PACIFIC ST ONRAMP,BURRARD ST,BURRARD ST,18:00-20:59,1,49.276971,-123.132435,1
SATURDAY,VANCOUVER,CASUALTY,NELSON ST,Yes,2016,SATURDAY,SINGLE VEHICLE,N,Yes,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,HOMER ST & NELSON ST,HOMER ST,HOMER ST,12:00-14:59,1,49.277347,-123.120093,1
FRIDAY,VANCOUVER,PROPERTY DAMAGE ONLY,UNION ST,Yes,2017,FRIDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,GLEN DR & UNION ST,GLEN DR,GLEN DR,18:00-20:59,1,49.277339,-123.081372,1
FRIDAY,VANCOUVER,CASUALTY,UNION ST,Yes,2019,FRIDAY,SINGLE VEHICLE,N,Yes,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,CAMPBELL AVE & UNION ST,CAMPBELL AVE,CAMPBELL AVE,12:00-14:59,1,49.277399,-123.084959,1
MONDAY,VANCOUVER,PROPERTY DAMAGE ONLY,NA,Yes,2015,MONDAY,SINGLE VEHICLE,N,No,Y,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,Yes,No,LOWER MAINLAND,UNION ST,UNION ST,UNION ST,18:00-20:59,1,49.277601,-123.102787,1
THURSDAY,VANCOUVER,CASUALTY,SMITHE ST,Yes,2016,THURSDAY,UNDETERMINED,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,CAMBIE ST BRIDGE & EXPO BLVD & SMITHE ST,EXPO BLVD,EXPO BLVD,12:00-14:59,1,49.275777,-123.114745,1
TUESDAY,VANCOUVER,PROPERTY DAMAGE ONLY,HOMER ST,Yes,2019,TUESDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,HOMER ST & NELSON ST,NELSON ST,NELSON ST,15:00-17:59,1,49.277347,-123.120093,1
TUESDAY,VANCOUVER,CASUALTY,UNION ST,Yes,2019,TUESDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,CAMPBELL AVE & UNION ST,CAMPBELL AVE,CAMPBELL AVE,06:00-08:59,1,49.277399,-123.084959,1
THURSDAY,VANCOUVER,PROPERTY DAMAGE ONLY,PENTICTON ST,Yes,2019,THURSDAY,SINGLE VEHICLE,N,Yes,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST & PENTICTON ST,ADANAC ST,ADANAC ST,06:00-08:59,1,49.277471,-123.052013,1
MONDAY,VANCOUVER,CASUALTY,ROBSON ST,Yes,2016,MONDAY,SINGLE VEHICLE,N,Yes,N,FEBRUARY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BEATTY ST & ROBSON ST,BEATTY ST,BEATTY ST,15:00-17:59,1,49.277588,-123.113963,1
WEDNESDAY,VANCOUVER,CASUALTY,CLARK DR,Yes,2015,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST & CLARK DR,ADANAC ST,ADANAC ST,03:00-05:59,1,49.277667,-123.077246,1
THURSDAY,VANCOUVER,CASUALTY,HARWOOD ST,Yes,2015,THURSDAY,SINGLE VEHICLE,N,Yes,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BURRARD ST & HARWOOD ST,BURRARD ST,BURRARD ST,18:00-20:59,1,49.277669,-123.131347,1
WEDNESDAY,VANCOUVER,CASUALTY,NA,Yes,2015,WEDNESDAY,SINGLE VEHICLE,N,No,Y,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ROBSON ST,ROBSON ST,ROBSON ST,09:00-11:59,1,49.277748,-123.11422,1
TUESDAY,VANCOUVER,CASUALTY,NA,Yes,2016,TUESDAY,SINGLE VEHICLE,N,No,N,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,EXPO BLVD,EXPO BLVD,EXPO BLVD,15:00-17:59,1,49.275331,-123.115362,1
FRIDAY,VANCOUVER,CASUALTY,SMITHE ST,Yes,2019,FRIDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BEATTY ST & SMITHE ST,BEATTY ST,BEATTY ST,09:00-11:59,1,49.276538,-123.115575,1
THURSDAY,VANCOUVER,CASUALTY,DAVIE ST,Yes,2016,THURSDAY,SIDE IMPACT,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,Yes,No,LOWER MAINLAND,DAVIE ST & PACIFIC BLVD,PACIFIC BLVD,PACIFIC BLVD,09:00-11:59,1,49.274047,-123.121365,1
MONDAY,VANCOUVER,CASUALTY,GRANVILLE ST BRIDGE,Yes,2017,MONDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BEACH AVE & BEACH CRES & GRANVILLE BRIDGE & ROLSTON ST & SEYMOUR ST OFFRAMP,BEACH AVE,BEACH AVE,09:00-11:59,1,49.27408,-123.130771,1
THURSDAY,VANCOUVER,CASUALTY,NATIONAL AVE,Yes,2016,THURSDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,MAIN ST & NATIONAL AVE,MAIN ST,MAIN ST,15:00-17:59,1,49.274934,-123.099923,1
FRIDAY,VANCOUVER,CASUALTY,MAPLE ST,Yes,2017,FRIDAY,SINGLE VEHICLE,N,Yes,N,OCTOBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,MAPLE ST & WHYTE AVE,WHYTE AVE,WHYTE AVE,18:00-20:59,1,49.275371,-123.150102,1
SATURDAY,VANCOUVER,CASUALTY,VENABLES ST,Yes,2015,SATURDAY,SINGLE VEHICLE,N,Yes,N,JANUARY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,CLARK DR & VENABLES ST,CLARK DR,CLARK DR,00:00-02:59,1,49.276759,-123.077265,1
SUNDAY,VANCOUVER,CASUALTY,PACIFIC ST,Yes,2017,SUNDAY,UNDETERMINED,N,Yes,N,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BURRARD ST & BURRARD ST BRIDGE & PACIFIC ST & PACIFIC ST OFFRAMP & PACIFIC ST ONRAMP,BURRARD ST BRIDGE,BURRARD ST BRIDGE,21:00-23:59,1,49.276971,-123.132435,1
TUESDAY,VANCOUVER,CASUALTY,ADANAC ST,Yes,2016,TUESDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST & WOODLAND DR,WOODLAND DR,WOODLAND DR,09:00-11:59,1,49.277605,-123.072745,1
WEDNESDAY,VANCOUVER,CASUALTY,GORE AVE,Yes,2017,WEDNESDAY,UNDETERMINED,N,Yes,N,JANUARY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,GORE AVE & UNION ST,UNION ST,UNION ST,15:00-17:59,1,49.277617,-123.096963,1
TUESDAY,VANCOUVER,CASUALTY,DAVIE ST,Yes,2018,TUESDAY,SINGLE VEHICLE,N,Yes,N,JANUARY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,DAVIE ST & PACIFIC BLVD,PACIFIC BLVD,PACIFIC BLVD,12:00-14:59,1,49.274047,-123.121365,1
TUESDAY,VANCOUVER,CASUALTY,WILLIAM ST,Yes,2019,TUESDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,KASLO ST & WILLIAM ST,KASLO ST,KASLO ST,15:00-17:59,1,49.274179,-123.046867,1
SATURDAY,VANCOUVER,CASUALTY,CYPRESS ST,Yes,2019,SATURDAY,UNDETERMINED,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,CREELMAN AVE & CYPRESS ST,CREELMAN AVE,CREELMAN AVE,15:00-17:59,1,49.274451,-123.147733,1
FRIDAY,VANCOUVER,CASUALTY,GEORGE ST,Yes,2019,FRIDAY,UNDETERMINED,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,GEORGE ST & NAPIER ST,NAPIER ST,NAPIER ST,06:00-08:59,1,49.274974,-123.079469,1
TUESDAY,VANCOUVER,CASUALTY,PACIFIC ST,Yes,2018,TUESDAY,UNDETERMINED,N,Yes,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BURRARD ST & BURRARD ST BRIDGE & PACIFIC ST & PACIFIC ST OFFRAMP & PACIFIC ST ONRAMP,BURRARD ST,BURRARD ST,12:00-14:59,1,49.276971,-123.132435,1
WEDNESDAY,VANCOUVER,PROPERTY DAMAGE ONLY,NA,Yes,2017,WEDNESDAY,SINGLE VEHICLE,N,No,Y,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BEATTY ST,BEATTY ST,BEATTY ST,06:00-08:59,1,49.277063,-123.114769,1
TUESDAY,VANCOUVER,CASUALTY,VERNON DR,Yes,2016,TUESDAY,SINGLE VEHICLE,N,Yes,N,FEBRUARY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,UNION ST & VERNON DR,UNION ST,UNION ST,18:00-20:59,1,49.277303,-123.079281,1
FRIDAY,VANCOUVER,CASUALTY,TEMPLETON DR,Yes,2018,FRIDAY,SINGLE VEHICLE,N,Yes,N,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST & TEMPLETON DR,ADANAC ST,ADANAC ST,06:00-08:59,1,49.27748,-123.059815,1
WEDNESDAY,VANCOUVER,CASUALTY,WILLIAM ST,Yes,2016,WEDNESDAY,UNDETERMINED,N,Yes,N,MARCH,Y,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,SALSBURY DR & WILLIAM ST,SALSBURY DR,SALSBURY DR,15:00-17:59,1,49.273934,-123.067604,1
WEDNESDAY,VANCOUVER,CASUALTY,PACIFIC BLVD,Yes,2015,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,DAVIE ST & PACIFIC BLVD,DAVIE ST,DAVIE ST,06:00-08:59,1,49.274047,-123.121365,1
TUESDAY,VANCOUVER,PROPERTY DAMAGE ONLY,HOMER ST,Yes,2015,TUESDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,DRAKE ST & HOMER ST,DRAKE ST,DRAKE ST,09:00-11:59,1,49.274205,-123.124853,1
SATURDAY,VANCOUVER,CASUALTY,NATIONAL AVE,Yes,2016,SATURDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,MAIN ST & NATIONAL AVE,MAIN ST,MAIN ST,15:00-17:59,1,49.274934,-123.099923,1
FRIDAY,VANCOUVER,CASUALTY,HOMER ST,Yes,2019,FRIDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,Y,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,DAVIE ST & HOMER ST,DAVIE ST,DAVIE ST,09:00-11:59,1,49.275246,-123.123273,1
TUESDAY,VANCOUVER,CASUALTY,GARDEN DR,Yes,2018,TUESDAY,SINGLE VEHICLE,N,Yes,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST & GARDEN DR,ADANAC ST,ADANAC ST,18:00-20:59,1,49.277468,-123.057878,1
THURSDAY,VANCOUVER,CASUALTY,PENTICTON ST,Yes,2016,THURSDAY,SINGLE VEHICLE,N,Yes,N,OCTOBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST & PENTICTON ST,ADANAC ST,ADANAC ST,15:00-17:59,1,49.277471,-123.052013,1
WEDNESDAY,VANCOUVER,CASUALTY,ADANAC ST,Yes,2018,WEDNESDAY,UNDETERMINED,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST & CLARK DR,CLARK DR,CLARK DR,06:00-08:59,1,49.277667,-123.077246,1
